Change Component Designator: OldDesignator=C? NewDesignator=C1
Change Component Designator: OldDesignator=C? NewDesignator=C2
Change Component Designator: OldDesignator=C? NewDesignator=C3
Change Component Designator: OldDesignator=C? NewDesignator=C4
Change Component Designator: OldDesignator=C? NewDesignator=C5
Change Component Designator: OldDesignator=C? NewDesignator=C6
Change Component Designator: OldDesignator=C? NewDesignator=C7
Change Component Designator: OldDesignator=C? NewDesignator=C8
Change Component Designator: OldDesignator=J? NewDesignator=J1
Change Component Designator: OldDesignator=J? NewDesignator=J2
Change Component Designator: OldDesignator=J? NewDesignator=J3
Change Component Designator: OldDesignator=J? NewDesignator=J4
Change Component Designator: OldDesignator=J? NewDesignator=J5
Change Component Designator: OldDesignator=JP? NewDesignator=JP1
Change Component Designator: OldDesignator=JP? NewDesignator=JP2
Change Component Designator: OldDesignator=JP? NewDesignator=JP3
Change Component Designator: OldDesignator=JP? NewDesignator=JP4
Change Component Designator: OldDesignator=R? NewDesignator=R1
Change Component Designator: OldDesignator=R? NewDesignator=R2
Change Component Designator: OldDesignator=R? NewDesignator=R3
Change Component Designator: OldDesignator=R? NewDesignator=R4
Change Component Designator: OldDesignator=R? NewDesignator=R5
Change Component Designator: OldDesignator=R? NewDesignator=R6
Change Component Designator: OldDesignator=R? NewDesignator=R7
Change Component Designator: OldDesignator=R? NewDesignator=R8
Change Component Designator: OldDesignator=R? NewDesignator=R9
Change Component Designator: OldDesignator=R? NewDesignator=R10
Change Component Designator: OldDesignator=R? NewDesignator=R11
Change Component Designator: OldDesignator=R? NewDesignator=R12
Change Component Designator: OldDesignator=R? NewDesignator=R13
Change Component Designator: OldDesignator=R? NewDesignator=R14
Change Component Designator: OldDesignator=R? NewDesignator=R15
Change Component Designator: OldDesignator=R? NewDesignator=R16
Change Component Designator: OldDesignator=U? NewDesignator=U1
Added Pin To Net: NetName=GND Pin=J2-A62
Added Pin To Net: NetName=GND Pin=J2-A63
Added Pin To Net: NetName=GND Pin=J2-A66
Added Pin To Net: NetName=GND Pin=J2-A67
Added Pin To Net: NetName=GND Pin=J2-A70
Added Pin To Net: NetName=GND Pin=J2-A71
Added Pin To Net: NetName=GND Pin=J2-A74
Added Pin To Net: NetName=GND Pin=J2-A75
Added Pin To Net: NetName=GND Pin=J2-A78
Added Pin To Net: NetName=GND Pin=J2-A79
Added Pin To Net: NetName=GND Pin=J2-A82
Added Pin To Net: NetName=GND Pin=J2-B4
Added Pin To Net: NetName=GND Pin=J2-B7
Added Pin To Net: NetName=GND Pin=J2-B13
Added Pin To Net: NetName=GND Pin=J2-B16
Added Pin To Net: NetName=GND Pin=J2-B18
Added Pin To Net: NetName=GND Pin=J2-B21
Added Pin To Net: NetName=GND Pin=J2-B22
Added Pin To Net: NetName=GND Pin=J2-B25
Added Pin To Net: NetName=GND Pin=J2-B26
Added Pin To Net: NetName=GND Pin=J2-B29
Added Pin To Net: NetName=GND Pin=J2-B35
Added Pin To Net: NetName=GND Pin=J2-B36
Added Pin To Net: NetName=GND Pin=J2-B39
Added Pin To Net: NetName=GND Pin=J2-B40
Added Pin To Net: NetName=GND Pin=J2-B43
Added Pin To Net: NetName=GND Pin=J2-B44
Added Pin To Net: NetName=GND Pin=J2-B47
Added Pin To Net: NetName=GND Pin=J2-B49
Added Pin To Net: NetName=GND Pin=J2-B52
Added Pin To Net: NetName=GND Pin=J2-B53
Added Pin To Net: NetName=GND Pin=J2-B56
Added Pin To Net: NetName=GND Pin=J2-B57
Added Pin To Net: NetName=GND Pin=J2-B60
Added Pin To Net: NetName=GND Pin=J2-B61
Added Pin To Net: NetName=GND Pin=J2-B64
Added Pin To Net: NetName=GND Pin=J2-B65
Added Pin To Net: NetName=GND Pin=J2-B68
Added Pin To Net: NetName=GND Pin=J2-B69
Added Pin To Net: NetName=GND Pin=J2-B72
Added Pin To Net: NetName=GND Pin=J2-B73
Added Pin To Net: NetName=GND Pin=J2-B76
Added Pin To Net: NetName=GND Pin=J2-B77
Added Pin To Net: NetName=GND Pin=J2-B80
Added Pin To Net: NetName=GND Pin=J3-A4
Added Pin To Net: NetName=GND Pin=J3-A12
Added Pin To Net: NetName=GND Pin=J3-A15
Added Pin To Net: NetName=GND Pin=J3-A18
Added Pin To Net: NetName=GND Pin=J3-A20
Added Pin To Net: NetName=GND Pin=J3-A23
Added Pin To Net: NetName=GND Pin=J3-A24
Added Pin To Net: NetName=GND Pin=J3-A27
Added Pin To Net: NetName=GND Pin=J3-A28
Added Pin To Net: NetName=GND Pin=J3-A31
Added Pin To Net: NetName=GND Pin=J3-B4
Added Pin To Net: NetName=GND Pin=J3-B7
Added Pin To Net: NetName=GND Pin=J3-B13
Added Pin To Net: NetName=GND Pin=J3-B16
Added Pin To Net: NetName=GND Pin=J3-B18
Added Pin To Net: NetName=GND Pin=J3-B21
Added Pin To Net: NetName=GND Pin=J3-B22
Added Pin To Net: NetName=GND Pin=J3-B25
Added Pin To Net: NetName=GND Pin=J3-B26
Added Pin To Net: NetName=GND Pin=J3-B29
Added Pin To Net: NetName=GND Pin=J3-B32
Added Pin To Net: NetName=GND Pin=J4-A4
Added Pin To Net: NetName=GND Pin=J4-A12
Added Pin To Net: NetName=GND Pin=J4-A15
Added Pin To Net: NetName=GND Pin=J4-A18
Added Pin To Net: NetName=GND Pin=J4-A20
Added Pin To Net: NetName=GND Pin=J4-A23
Added Pin To Net: NetName=GND Pin=J4-A24
Added Pin To Net: NetName=GND Pin=J4-A27
Added Pin To Net: NetName=GND Pin=J4-A28
Added Pin To Net: NetName=GND Pin=J4-A31
Added Pin To Net: NetName=GND Pin=J4-B4
Added Pin To Net: NetName=GND Pin=J4-B7
Added Pin To Net: NetName=GND Pin=J4-B13
Added Pin To Net: NetName=GND Pin=J4-B16
Added Pin To Net: NetName=GND Pin=J4-B18
Added Pin To Net: NetName=GND Pin=J4-B21
Added Pin To Net: NetName=GND Pin=J4-B22
Added Pin To Net: NetName=GND Pin=J4-B25
Added Pin To Net: NetName=GND Pin=J4-B26
Added Pin To Net: NetName=GND Pin=J4-B29
Added Pin To Net: NetName=GND Pin=J4-B32
Added Pin To Net: NetName=GND Pin=J5-A4
Added Pin To Net: NetName=GND Pin=J5-A12
Added Pin To Net: NetName=GND Pin=J5-A15
Added Pin To Net: NetName=GND Pin=J5-A18
Added Pin To Net: NetName=GND Pin=J5-A20
Added Pin To Net: NetName=GND Pin=J5-A23
Added Pin To Net: NetName=GND Pin=J5-A24
Added Pin To Net: NetName=GND Pin=J5-A27
Added Pin To Net: NetName=GND Pin=J5-A28
Added Pin To Net: NetName=GND Pin=J5-A31
Added Pin To Net: NetName=GND Pin=J5-B4
Added Pin To Net: NetName=GND Pin=J5-B7
Added Pin To Net: NetName=GND Pin=J5-B13
Added Pin To Net: NetName=GND Pin=J5-B16
Added Pin To Net: NetName=GND Pin=J5-B18
Added Pin To Net: NetName=GND Pin=J5-B21
Added Pin To Net: NetName=GND Pin=J5-B22
Added Pin To Net: NetName=GND Pin=J5-B25
Added Pin To Net: NetName=GND Pin=J5-B26
Added Pin To Net: NetName=GND Pin=J5-B29
Added Pin To Net: NetName=GND Pin=J5-B32
Added Pin To Net: NetName=VCC12V Pin=J3-A2
Added Pin To Net: NetName=VCC12V Pin=J3-A3
Added Pin To Net: NetName=VCC12V Pin=J3-B1
Added Pin To Net: NetName=VCC12V Pin=J3-B2
Added Pin To Net: NetName=VCC12V Pin=J3-B3
Added Pin To Net: NetName=VCC12V Pin=J4-A2
Added Pin To Net: NetName=VCC12V Pin=J4-A3
Added Pin To Net: NetName=VCC12V Pin=J4-B1
Added Pin To Net: NetName=VCC12V Pin=J4-B2
Added Pin To Net: NetName=VCC12V Pin=J4-B3
Added Pin To Net: NetName=VCC12V Pin=J5-A2
Added Pin To Net: NetName=VCC12V Pin=J5-A3
Added Pin To Net: NetName=VCC12V Pin=J5-B1
Added Pin To Net: NetName=VCC12V Pin=J5-B2
Added Pin To Net: NetName=VCC12V Pin=J5-B3
Added Net: Name=VCC12V
Added Member To Class: ClassName=Sheet Member=Component C2 100nF/0603
Added Member To Class: ClassName=Sheet Member=Component C3 100nF/0603
Added Member To Class: ClassName=Sheet Member=Component C4 100nF/0603
Added Member To Class: ClassName=Sheet Member=Component C5 100nF/0603
Added Member To Class: ClassName=Sheet Member=Component C6 100nF/0603
Added Member To Class: ClassName=Sheet Member=Component C7 100nF/0603
Added Member To Class: ClassName=Sheet Member=Component C8 100nF/0603
Added Member To Class: ClassName=Sheet Member=Component J1 OCULink-4i
Added Member To Class: ClassName=Sheet Member=Component J2 Pcie Gen4 x16
Added Member To Class: ClassName=Sheet Member=Component J3 Pcie Gen4 x4
Added Member To Class: ClassName=Sheet Member=Component J5 Pcie Gen4 x4
Added Member To Class: ClassName=Sheet Member=Component JP1 FPC1.0-20P
Added Member To Class: ClassName=Sheet Member=Component JP2 FPC1.0-20P
Added Member To Class: ClassName=Sheet Member=Component JP3 FPC1.0-20P
Added Member To Class: ClassName=Sheet Member=Component R1 0402/27R
Added Member To Class: ClassName=Sheet Member=Component R2 0402/27R
Added Member To Class: ClassName=Sheet Member=Component R3 0402/27R
Added Member To Class: ClassName=Sheet Member=Component R4 0402/27R
Added Member To Class: ClassName=Sheet Member=Component R5 0402/27R
Added Member To Class: ClassName=Sheet Member=Component R6 0402/27R
Added Member To Class: ClassName=Sheet Member=Component R7 0402/27R
Added Member To Class: ClassName=Sheet Member=Component R8 0402/27R
Added Member To Class: ClassName=Sheet Member=Component R10 0402/43R
Added Member To Class: ClassName=Sheet Member=Component R11 0402/43R
Added Member To Class: ClassName=Sheet Member=Component R12 0402/43R
Added Member To Class: ClassName=Sheet Member=Component R13 0402/43R
Added Member To Class: ClassName=Sheet Member=Component R14 0402/43R
Added Member To Class: ClassName=Sheet Member=Component R15 0402/43R
Added Member To Class: ClassName=Sheet Member=Component R16 0402/43R
